location,Basel,Basel,Basel,Basel,Basel
lat,47.66652,47.66652,47.66652,47.66652,47.66652
lon,7.50000,7.50000,7.50000,7.50000,7.50000
asl,499.774,499.774,499.774,499.774,499.774
variable,Temperature,Sunshine Duration,Precipitation Total,Mean Sea Level Pressure,Wind Gust
unit,°C,min,mm,hPa,km/h
level,2 m elevation corrected,sfc,sfc,MSL,sfc
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Sunshine Duration,Basel Precipitation Total,Basel Mean Sea Level Pressure [MSL],Basel Wind Gust
20220101T0000,5.565029,0.0,0.0,1029.3,8.64
20220101T0100,4.9550285,0.0,0.0,1029.4,6.8399997
20220101T0200,4.7050285,0.0,0.0,1030.2,5.7599998
20220101T0300,4.355029,0.0,0.0,1028.9,6.12
20220101T0400,3.9950287,0.0,0.0,1029.2,6.8399997
20220101T0500,3.6150289,0.0,0.0,1029.3,8.64
20220101T0600,3.1250288,0.0,0.0,1029.3,7.5599995
20220101T0700,2.5850286,0.0,0.0,1028.9,5.7599998
20220101T0800,2.4750288,0.0,0.0,1028.8,5.7599998
20220101T0900,3.2750287,35.084175,0.0,1028.6,7.2
20220101T1000,5.935029,58.18182,0.0,1028.2,6.4799995
20220101T1100,8.485029,59.81818,0.0,1027.7,6.8399997
20220101T1200,11.045029,60.0,0.0,1027.2,6.4799995
20220101T1300,13.495029,51.272728,0.0,1026.2,6.12
20220101T1400,14.445029,55.81818,0.0,1025.6,6.12
20220101T1500,14.635029,60.0,0.0,1025.3,6.12
20220101T1600,13.7050295,60.0,0.0,1024.9,4.68
20220101T1700,12.565029,50.95,0.0,1024.9,5.3999996
20220101T1800,11.395029,0.0,0.0,1025.0,5.7599998
20220101T1900,10.335029,0.0,0.0,1025.1,6.12
20220101T2000,9.325028,0.0,0.0,1025.5,6.8399997
20220101T2100,8.465029,0.0,0.0,1025.9,7.92
20220101T2200,7.5850286,0.0,0.0,1025.6,8.64
20220101T2300,6.8350286,0.0,0.0,1025.7,11.159999
20220102T0000,6.065029,0.0,0.0,1025.3,11.879999
20220102T0100,5.385029,0.0,0.0,1025.5,12.959999
20220102T0200,4.845029,0.0,0.0,1025.7,12.959999
20220102T0300,4.4850287,0.0,0.0,1025.1,12.24
20220102T0400,4.015029,0.0,0.0,1025.0,12.599999
20220102T0500,3.4850287,0.0,0.0,1025.1,12.599999
20220102T0600,3.1350288,0.0,0.0,1024.9,12.959999
20220102T0700,3.2550287,0.0,0.0,1024.8,14.4
20220102T0800,3.4650288,0.0,0.0,1024.0,15.119999
20220102T0900,4.5350285,0.0,0.0,1023.6,15.4800005
20220102T1000,7.4550285,0.0,0.0,1023.1,15.119999
20220102T1100,10.915029,0.0,0.0,1022.1,21.96
20220102T1200,13.095029,0.0,0.0,1021.5,25.56
20220102T1300,15.335029,9.696969,0.0,1020.6,27.359999
20220102T1400,16.695028,56.727272,0.0,1020.5,28.8
20220102T1500,16.555029,52.18182,0.0,1020.7,31.68
20220102T1600,15.145029,52.909092,0.0,1020.0,34.56
20220102T1700,12.345029,45.14276,0.0,1020.3,34.2
20220102T1800,10.495029,0.0,0.0,1021.5,33.839996
20220102T1900,10.405029,0.0,0.0,1021.6,38.88
20220102T2000,10.795029,0.0,0.0,1021.9,37.8
20220102T2100,10.695029,0.0,0.0,1022.2,37.44
20220102T2200,10.545029,0.0,0.0,1022.6,39.96
20220102T2300,10.615029,0.0,0.0,1022.4,42.839996
20220103T0000,10.585029,0.0,0.0,1022.1,45.36
20220103T0100,10.405029,0.0,0.0,1022.1,47.16
20220103T0200,10.135029,0.0,0.0,1022.3,46.44
20220103T0300,9.765029,0.0,0.0,1022.4,45.0
20220103T0400,9.465029,0.0,0.0,1021.8,41.399998
20220103T0500,9.375029,0.0,0.0,1022.3,39.6
20220103T0600,9.755029,0.0,0.0,1022.7,38.88
20220103T0700,9.785029,0.0,0.1,1022.1,38.519997
20220103T0800,9.595029,0.0,0.0,1021.7,39.6
20220103T0900,9.9550295,0.0,0.0,1021.7,39.6
20220103T1000,10.845029,0.0,0.0,1021.2,40.68
20220103T1100,11.695029,0.0,0.0,1021.2,42.839996
20220103T1200,11.415029,15.151516,0.0,1021.2,44.28
20220103T1300,12.225029,12.121214,0.0,1018.6,37.44
20220103T1400,13.015029,0.0,0.0,1018.6,37.8
20220103T1500,12.915029,0.0,0.0,1018.1,37.8
20220103T1600,12.435029,0.0,0.0,1016.9,36.0
20220103T1700,11.625029,0.0,0.0,1016.9,34.2
20220103T1800,11.505029,0.0,0.0,1016.4,34.2
20220103T1900,11.025029,0.0,0.0,1015.9,33.839996
20220103T2000,10.605029,0.0,0.0,1015.5,33.48
20220103T2100,10.245029,0.0,0.0,1014.7,32.039997
20220103T2200,10.025029,0.0,0.0,1014.1,31.319998
20220103T2300,9.825029,0.0,0.0,1013.0,28.8
20220104T0000,9.275029,0.0,0.1,1012.3,29.519999
20220104T0100,8.725029,0.0,0.4,1011.5,30.239998
20220104T0200,8.535028,0.0,0.5,1011.1,32.399998
20220104T0300,8.355029,0.0,0.3,1009.8,35.28
20220104T0400,8.305029,0.0,0.4,1008.6,38.16
20220104T0500,8.365028,0.0,0.3,1007.1,40.68
